Date,Time,Activity,Variation,Training Type,Set #,Reps,Weight (lb),Notes
2025-07-21,,Preacher curl,,,,3,25,
2025-07-21,,Preacher curl,,,,2,20,
2025-07-21,,Preacher curl,,,,6,20,
2025-07-21,,Wrist curls ,Reverse,,,5,20,
2025-07-21,,Wrist curls ,,,,10,20,
2025-07-21,,Wrist curls ,Reverse,,,5,25,
2025-07-21,,Wrist curls ,,,,10,25,
2025-07-21,,Wrist curls ,Reverse,,,5,25,
2025-07-21,,Wrist curls ,,,,7,30,
2025-07-21,,Wrist curls ,Reverse,,,7,20,
2025-07-21,,Wrist curls ,,,,7,30,
